Designator,Mid X,Mid Y,Rotation,Layer
RSCL1_5,80.0328,-26.2664,90.0,top
RSCL1_4,96.1672,-73.3336,270.0,top
RSCL1_3,29.2328,-26.2664,90.0,top
RSCL1_2,3.8328,-26.2664,90.0,top
RSCL1,19.9672,-73.3336,270.0,top
RSDA1_8,44.1988,-73.3318,270.0,top
RSDA1_7,69.5988,-73.3318,270.0,top
RSDA1_6,5.0012,-26.2682,90.0,top
RSDA1_5,18.7988,-73.3318,270.0,top
RSDA1_4,30.4012,-26.2682,90.0,top
RSDA1_3,81.2012,-26.2682,90.0,top
RSDA1_2,94.9988,-73.3318,270.0,top
RSDA1,55.8012,-26.2682,90.0,top
RVBUSI1_8,55.1172,-7.3198,180.0,top
RVBUSI1_7,95.6828,-92.2802,0.0,top
RVBUSI1_6,29.7172,-7.3198,180.0,top
RVBUSI1_5,19.4828,-92.2802,0.0,top
RVBUSI1_4,44.8828,-92.2802,0.0,top
RVBUSI1_3,70.2828,-92.2802,0.0,top
RVBUSI1_2,80.5172,-7.3198,180.0,top
RVBUSI1,4.3172,-7.3198,180.0,top
RVBUSO1_8,70.2828,-93.5502,180.0,top
RVBUSO1_7,4.3172,-6.0498,0.0,top
RVBUSO1_6,44.8828,-93.5502,180.0,top
RVBUSO1_5,19.4828,-93.5502,180.0,top
RVBUSO1_4,80.5172,-6.0498,0.0,top
RVBUSO1_3,55.1172,-6.0498,0.0,top
RVBUSO1_2,95.6828,-93.5502,180.0,top
RVBUSO1,29.7172,-6.0498,0.0,top
SW1_8,83.665,-46.0,0.0,top
SW1_7,67.135,-53.6,180.0,top
SW1_6,58.265,-46.0,0.0,top
SW1_5,32.865,-46.0,0.0,top
SW1_4,41.735,-53.6,180.0,top
SW1_3,92.535,-53.6,180.0,top
SW1_2,16.335,-53.6,180.0,top
SW1,7.465,-46.0,0.0,top
SW2_8,66.95,-46.0,180.0,top
SW2_7,92.35,-46.0,180.0,top
SW2_6,58.45,-53.6,0.0,top
SW2_5,16.15,-46.0,180.0,top
SW2_4,33.05,-53.6,0.0,top
SW2_3,83.85,-53.6,0.0,top
SW2_2,41.55,-46.0,180.0,top
SW2,7.65,-53.6,0.0,top
U1_8,17.859,-89.8376,270.0,top
U1_7,31.341,-9.7624,90.0,top
U1_6,5.941,-9.7624,90.0,top
U1_5,68.659,-89.8376,270.0,top
U1_4,94.059,-89.8376,270.0,top
U1_3,43.259,-89.8376,270.0,top
U1_2,56.741,-9.7624,90.0,top
U1,82.141,-9.7624,90.0,top
USB1_8,88.06,-94.36,0.0,top
USB1_7,62.66,-94.36,0.0,top
USB1_6,37.26,-94.36,0.0,top
USB1_5,37.34,-5.24,180.0,top
USB1_4,62.74,-5.24,180.0,top
USB1_3,11.86,-94.36,0.0,top
USB1_2,11.94,-5.24,180.0,top
USB1,88.14,-5.24,180.0,top
X1_8,58.8746,-30.237858,225.0,top
X1_7,41.1254,-69.362142,45.0,top
X1_6,84.2746,-30.237858,225.0,top
X1_5,15.7254,-69.362142,45.0,top
X1_4,91.9254,-69.362142,45.0,top
X1_3,66.5254,-69.362142,45.0,top
X1_2,8.0746,-30.237858,225.0,top
X1,33.4746,-30.237858,225.0,top
